"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Click on the Dependencies tab and verify that all the relations have been listed and displayed",""
"broken","Tue Mar 12 00:53:01 GMT 2024","Tue Mar 12 00:53:23 GMT 2024","21420","chromium","e2e/techdocs.spec.ts","TechDocs","","","Verify that TechDocs is visible in sidebar",""
"broken","Tue Mar 12 00:52:54 GMT 2024","Tue Mar 12 00:53:17 GMT 2024","23063","chromium","e2e/plugins/tekton/tekton.spec.ts","Test Tekton plugin","","","Check search functionality",""
"skipped","Tue Mar 12 00:51:18 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as a guest user","","","Check if Administration side nav is present with no RBAC tab",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the Issues tab renders all the open github issues in the repository",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Register an existing component",""
"failed","Tue Mar 12 00:51:13 GMT 2024","Tue Mar 12 00:51:15 GMT 2024","1803","chromium","e2e/plugins/ocm.spec.ts","Test OCM plugin","","","Navigate to Clusters and Verify OCM Clusters",""
"skipped","Tue Mar 12 00:51:15 GMT 2024","Tue Mar 12 00:51:15 GMT 2024","0","chromium","e2e/plugins/ocm.spec.ts","Test OCM plugin","","","Navigate to Catalog > resources and verify cluster",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the Pull/Merge Requests tab renders the 5 most recently updated Open Pull Requests",""
"skipped","Tue Mar 12 00:51:18 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as an admin user","","","View details of a role",""
"broken","Tue Mar 12 00:51:44 GMT 2024","Tue Mar 12 00:52:05 GMT 2024","21423","chromium","e2e/plugins/dynamic-plugins-info/dynamic-plugins-info.spec.ts","dynamic-plugins-info UI tests","","","it should show a table and have a support button, the table should contain the dynamic-plugins-info plugin",""
"broken","Tue Mar 12 00:52:00 GMT 2024","Tue Mar 12 00:52:22 GMT 2024","21497","chromium","e2e/plugins/quick-access-and-tech-radar.spec.ts","Test Customized Quick Access and tech-radar plugin","","","Verify tech-radar",""
"skipped","Tue Mar 12 00:51:18 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as an admin user","","","Check if Administration side nav is present with RBAC tab",""
"failed","Tue Mar 12 00:50:59 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","3190","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify Profile is Github Account Name in the Settings page",""
"broken","Tue Mar 12 00:53:02 GMT 2024","Tue Mar 12 00:53:26 GMT 2024","24160","chromium","e2e/plugins/tekton/tekton.spec.ts","Test Tekton plugin","","","Check if modal is opened after click on the pipeline stage",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the CI tab renders 5 most recent github actions and verify the table properly displays the actions when page sizes are changed and filters are applied",""
"passed","Tue Mar 12 00:51:10 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","8313","chromium","e2e/plugins/quick-access-and-tech-radar.spec.ts","Test Customized Quick Access and tech-radar plugin","","","Verify Customized Quick Access",""
"skipped","Tue Mar 12 00:50:44 GMT 2024","Tue Mar 12 00:50:44 GMT 2024","1","chromium","e2e/google-signin-happy-path.spec.ts","Google signin happy path","","","Verify Google Sign in",""
"passed","Tue Mar 12 00:50:45 GMT 2024","Tue Mar 12 00:50:46 GMT 2024","496","chromium","e2e/instance-health-check.spec.ts","","","","Application health check",""
"failed","Tue Mar 12 00:51:06 GMT 2024","Tue Mar 12 00:51:06 GMT 2024","432","chromium","e2e/plugins/dynamic-plugins-info-backend.spec.ts","dynamic-plugins-info backend plugin","","","should lists all the dynamic plugins installed",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Click on the CLOSED filter and verify that the 5 most recently updated Closed PRs are rendered (same with ALL)",""
