"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 12 00:51:54 GMT 2024","Tue Mar 12 00:52:15 GMT 2024","21700","chromium","e2e/plugins/quay/quay.spec.ts","Test Quay.io plugin","","","Check Security Scan details",""
"failed","Tue Mar 12 00:51:08 GMT 2024","Tue Mar 12 00:51:09 GMT 2024","78","chromium","e2e/plugins/keycloak/catalog-users.spec.ts","Test Keycloak plugin","","","Users on keycloak should match users on backstage",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify all 12 Software Templates appear in the Create page",""
"passed","Tue Mar 12 00:50:45 GMT 2024","Tue Mar 12 00:51:00 GMT 2024","14248","chromium","e2e/guest-signin-happy-path.spec.ts","Guest Signing Happy path","","","Verify Profile is Guest in the Settings page",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Sign out and verify that you return back to the Sign in page",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the following components were ingested into the Catalog",""
"skipped","Tue Mar 12 00:51:18 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as an admin user","","","Create and edit a role from the roles list page",""
"broken","Tue Mar 12 00:51:50 GMT 2024","Tue Mar 12 00:52:12 GMT 2024","21734","chromium","e2e/plugins/quay/quay.spec.ts","Test Quay.io plugin","","","Check if Image Registry is present",""
"passed","Tue Mar 12 00:50:45 GMT 2024","Tue Mar 12 00:50:59 GMT 2024","13397","chromium","e2e/guest-signin-happy-path.spec.ts","Guest Signing Happy path","","","Verify the Homepage renders with Search Bar, Quick Access and Starred Entities",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Click login on the login popup and verify that Overview tab renders",""
"failed","Tue Mar 12 00:50:59 GMT 2024","Tue Mar 12 00:51:01 GMT 2024","2255","chromium","e2e/plugins/acr.spec.ts","Test ACR plugin","","","Verify ACR Images are visible",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Click on the arrows to verify that the next/previous/first/last pages of PRs are loaded",""
"passed","Tue Mar 12 00:50:45 GMT 2024","Tue Mar 12 00:51:05 GMT 2024","19100","chromium","e2e/guest-signin-happy-path.spec.ts","Guest Signing Happy path","","","Sign Out and Verify that you return to the Sign-in page",""
"broken","Tue Mar 12 00:52:09 GMT 2024","Tue Mar 12 00:52:32 GMT 2024","23475","chromium","e2e/plugins/tekton/tekton.spec.ts","Test Tekton plugin","","","Check Pipeline Run",""
"broken","Tue Mar 12 00:53:07 GMT 2024","Tue Mar 12 00:53:28 GMT 2024","21480","chromium","e2e/techdocs.spec.ts","TechDocs","","","Verify that TechDocs for Backstage Showcase works",""
"skipped","Tue Mar 12 00:51:18 GMT 2024","Tue Mar 12 00:51:18 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as an admin user","","","Edit users and groups and update policies of a role from the overview page",""
"skipped","Tue Mar 12 00:51:02 GMT 2024","Tue Mar 12 00:51:02 GMT 2024","1","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the 5, 10, 20 items per page option properly displays the correct number of PRs",""
