"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 12 00:41:42 GMT 2024","Tue Mar 12 00:42:04 GMT 2024","21838","chromium","e2e/plugins/quick-access-and-tech-radar.spec.ts","Test Customized Quick Access and tech-radar plugin","","","Verify tech-radar",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the Issues tab renders all the open github issues in the repository",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Click on the arrows to verify that the next/previous/first/last pages of PRs are loaded",""
"broken","Tue Mar 12 00:42:36 GMT 2024","Tue Mar 12 00:42:58 GMT 2024","22827","chromium","e2e/plugins/tekton/tekton.spec.ts","Test Tekton plugin","","","Check search functionality",""
"passed","Tue Mar 12 00:40:29 GMT 2024","Tue Mar 12 00:40:44 GMT 2024","14956","chromium","e2e/guest-signin-happy-path.spec.ts","Guest Signing Happy path","","","Sign Out and Verify that you return to the Sign-in page",""
"failed","Tue Mar 12 00:40:53 GMT 2024","Tue Mar 12 00:40:56 GMT 2024","2472","chromium","e2e/plugins/ocm.spec.ts","Test OCM plugin","","","Navigate to Clusters and Verify OCM Clusters",""
"failed","Tue Mar 12 00:40:48 GMT 2024","Tue Mar 12 00:40:48 GMT 2024","67","chromium","e2e/plugins/keycloak/catalog-users.spec.ts","Test Keycloak plugin","","","Users on keycloak should match users on backstage",""
"broken","Tue Mar 12 00:42:49 GMT 2024","Tue Mar 12 00:43:10 GMT 2024","21468","chromium","e2e/techdocs.spec.ts","TechDocs","","","Verify that TechDocs for Backstage Showcase works",""
"skipped","Tue Mar 12 00:41:10 GMT 2024","Tue Mar 12 00:41:10 GMT 2024","0","chromium","e2e/plugins/rbac/rbac.spec.ts","Test RBAC plugin as an admin user","","","Edit users and groups and update policies of a role from the overview page",""
"skipped","Tue Mar 12 00:40:43 GMT 2024","Tue Mar 12 00:40:43 GMT 2024","0","chromium","e2e/github-happy-path.spec.ts","GitHub Happy path","","","Verify that the 5, 10, 20 items per page option properly displays the correct number of PRs",""
